case,model,order,version,n,time_sec
1,2,8,1,210,0.23981912387534976
1,2,8,1,220,0.25029123574495316
1,2,8,1,230,0.2652784427627921
1,2,8,1,240,0.2796321250498295
1,2,8,1,250,0.2845850088633597
1,2,8,1,260,0.2935021109879017
1,2,8,1,270,0.3072640160098672
1,2,8,1,280,0.3175453250296414
1,2,8,1,290,0.33049874380230904
1,2,8,1,300,0.3417162629775703
1,2,8,1,310,0.3537188661284745
1,2,8,1,320,0.36470362870022655
1,2,8,1,330,0.3773170015774667
1,2,8,1,340,0.3865651162341237
1,2,8,1,350,0.39876948203891516
1,2,8,1,360,0.4106127079576254
1,2,8,1,370,0.4223381970077753
1,2,8,1,380,0.43394073424860835
1,2,8,1,390,0.44527680426836014
1,2,8,1,400,0.45498586911708117
1,2,8,1,410,0.46724811382591724
1,2,8,1,420,0.4780087932012975
1,2,8,1,430,0.49048947310075164
1,2,8,1,440,0.5009374031797051
1,2,8,1,450,0.5121015883050859
1,2,8,1,460,0.5237875930033624
1,2,8,1,470,0.5364289390854537
1,2,8,1,480,0.548266967292875
1,2,8,1,490,0.5590166659094393
1,2,8,1,500,0.570032806135714
1,2,8,1,510,0.5815726770088077
1,2,8,1,520,0.5928979460150003
1,2,8,1,530,0.6048036501742899
1,2,8,1,540,0.614766662940383
1,2,8,1,550,0.6266459641046822
1,2,8,1,560,0.6376798138953745
1,2,8,1,570,0.6481863320805132
1,2,8,1,580,0.6613009930588305
1,2,8,1,590,0.6743391351774335
1,2,8,2,20,0.02273754682391882
1,2,8,2,30,0.03430081997066736
1,2,8,2,40,0.04554661177098751
1,2,8,2,50,0.0571709843352437
1,2,8,2,60,0.06840032013133168
1,2,8,2,70,0.0800776588730514
1,2,8,2,80,0.09171129204332829
1,2,8,2,90,0.10321762319654226
1,2,8,2,100,0.11423469008877873
1,2,8,2,110,0.12549218302592635
1,2,8,2,120,0.1375034092925489
1,2,8,2,130,0.14895945694297552
1,2,8,2,140,0.15969759318977594
1,2,8,2,150,0.17125426838174462
1,2,8,2,160,0.1828467957675457
1,2,8,2,170,0.1939465757459402
1,2,8,2,180,0.2049333518370986
1,2,8,2,190,0.21708366181701422
1,2,8,2,200,0.22761683212593198
1,2,8,2,210,0.23953877482563257
1,2,8,2,220,0.253585119266063
1,2,8,2,230,0.26447110204026103
1,2,8,2,240,0.27455446869134903
1,2,8,2,250,0.28628046391531825
1,2,8,2,260,0.2981959260068834
1,2,8,2,270,0.3100592182017863
1,2,8,2,280,0.32196089904755354
1,2,8,2,290,0.33250118559226394
1,2,8,2,300,0.3440456362441182
1,2,8,2,310,0.3561684680171311
1,2,8,2,320,0.3676335532218218
1,2,8,2,330,0.3782266741618514
1,2,8,2,340,0.38898916728794575
1,2,8,2,350,0.40052558900788426
1,2,8,2,360,0.41323353722691536
1,2,8,2,370,0.42337704123929143
1,2,8,2,380,0.4348613051697612
1,2,8,2,390,0.44702963810414076
1,2,8,2,400,0.4584647589363158
1,2,8,2,410,0.46973287081345916
1,2,8,2,420,0.4828047319315374
1,2,8,2,430,0.4934513601474464
1,2,8,2,440,0.5032472661696374
1,2,8,2,450,0.5178710566833615
1,2,8,2,460,0.526273266877979
1,2,8,2,470,0.5386971803382039
1,2,8,2,480,0.5504937651567161
1,2,8,2,490,0.5647311098873615
1,2,8,2,500,0.5731399287469685
1,2,8,2,510,0.5867074192501605
1,2,8,2,520,0.5966192032210529
1,2,8,2,530,0.6089892187155783
1,2,8,2,540,0.6198651590384543
1,2,8,2,550,0.6308647380210459
1,2,8,2,560,0.6424718438647687
1,2,8,2,570,0.6533425832167268
1,2,8,2,580,0.6640396011061966
1,2,8,2,590,0.6778187602758408
1,2,10,1,20,0.023073596879839897
1,2,10,1,30,0.03478658013045788
1,2,10,1,40,0.04597538569942117
1,2,10,1,50,0.05765123385936022
1,2,10,1,60,0.0689224828965962
1,2,10,1,70,0.080919133964926
1,2,10,1,80,0.09230661811307073
1,2,10,1,90,0.10384475719183683
1,2,10,1,100,0.11493046302348375
1,2,10,1,110,0.12738509895280004
1,2,10,1,120,0.13848955975845456
1,2,10,1,130,0.1498400908894837
1,2,10,1,140,0.16089592594653368
1,2,10,1,150,0.17283328576013446
